arriba	interjeição	ar|[ri]|ba
arribação	nome feminino	ar|ri|ba|[ção]
arribada	nome feminino	ar|ri|[ba]|da
arribadeira	nome feminino	ar|ri|ba|[dei]|ra
arribadeiro	nome masculino	ar|ri|ba|[dei]|ro
arribadiço	adjetivo	ar|ri|ba|[di]|ço
arribana	nome feminino	ar|ri|[ba]|na
arribanceirado	adjetivo	ar|ri|ban|cei|[ra]|do
arribar	verbo	ar|ri|[bar]
arriboz	nome masculino	ar|ri|[boz]
arriçar	verbo	ar|ri|[çar]
arricaveiro	nome masculino	ar|ri|ca|[vei]|ro
arrida	nome feminino	ar|[ri]|da
arridar	verbo	ar|ri|[dar]
arrieira	nome feminino	ar|ri|[ei]|ra
arrieirada	nome feminino	ar|ri|ei|[ra]|da
arrieirado	adjetivo	ar|ri|ei|[ra]|do
arrieiral	adjetivo	ar|ri|ei|[ral]
arrieirático	adjetivo	ar|ri|ei|[rá]|ti|co
arrieirice	nome feminino	ar|ri|ei|[ri]|ce
arrieiro	nome masculino	ar|ri|[ei]|ro
arriel	nome masculino	ar|ri|[el]
arrière-pensée	nome feminino	ar|riè|re-pen|sée
arrifana	nome feminino	ar|ri|[fa]|na
arrife	nome masculino	ar|[ri]|fe
arrifeiro	nome masculino	ar|ri|[fei]|ro
arrigar	verbo	ar|ri|[gar]
arrijar	verbo	ar|ri|[jar]
arrilhada	nome feminino	ar|ri|[lha]|da
arrilhado	nome masculino	ar|ri|[lha]|do
arrimadiço	adjetivo	ar|ri|ma|[di]|ço
arrimado	adjetivo	ar|ri|[ma]|do
arrimador	nome masculino	ar|ri|ma|[dor]
arrimar	verbo	ar|ri|[mar]
arrimo	nome masculino	ar|[ri]|mo
arrincada	nome feminino	ar|rin|[ca]|da
arrincar	verbo	ar|rin|[car]
arrincoar	verbo	ar|rin|co|[ar]
arrinconar	verbo	ar|rin|co|[nar]
arringar	verbo	ar|rin|[gar]
arrió	nome masculino	ar|ri|[ó]
arriosca	nome feminino	ar|ri|[os]|ca
arriosta	nome feminino	ar|ri|[os]|ta
arriscadamente	advérbio	ar|ris|ca|da|[men]|te
arriscado	adjetivo	ar|ris|[ca]|do
arriscar	verbo	ar|ris|[car]
arrispidar	verbo	ar|ris|pi|[dar]
arritmia	nome feminino	ar|rit|[mi]|a
arritmicamente	advérbio	ar|rit|mi|ca|[men]|te
arrítmico	adjetivo	ar|[rít]|mi|co
arritmo	adjetivo	ar|[rit]|mo
arrival	nome feminino	ar|ri|[val]
arrivismo	nome masculino	ar|ri|[vis]|mo
arrivista	nome masculino	ar|ri|[vis]|ta
arrivista	nome feminino	ar|ri|[vis]|ta
arrizar	verbo	ar|ri|[zar]
arrizo	adjetivo	ar|[ri]|zo
arrizotônico	adjetivo	ar|ri|zo|[tô]|ni|co
arrizotónico	adjetivo	ar|ri|zo|[tó]|ni|co
arroaz	nome masculino	ar|ro|[az]
arroba	nome feminino	ar|[ro]|ba
arrobação	nome feminino	ar|ro|ba|[ção]
arrobagem	nome feminino	ar|ro|[ba]|gem
arrobamento	nome masculino	ar|ro|ba|[men]|to
arrobar	verbo	ar|ro|[bar]
arrobe	nome masculino	ar|[ro]|be
arrobustado	adjetivo	ar|ro|bus|[ta]|do
arrobustar	verbo	ar|ro|bus|[tar]
arrocado	adjetivo	ar|ro|[ca]|do
arrochada	nome feminino	ar|ro|[cha]|da
arrochador	nome masculino	ar|ro|cha|[dor]
arrochadura	nome feminino	ar|ro|cha|[du]|ra
arrochar	verbo	ar|ro|[char]
arrocheiro	nome masculino	ar|ro|[chei]|ro
arrochelar	verbo	ar|ro|che|[lar]
arrocho	nome masculino	ar|[ro]|cho
arrociar	verbo	ar|ro|ci|[ar]
arrocinador	nome masculino	ar|ro|ci|na|[dor]
arrocinar	verbo	ar|ro|ci|[nar]
arrodear	verbo	ar|ro|de|[ar]
arrodeio	nome masculino	ar|ro|[dei]|o
arrodelar	verbo	ar|ro|de|[lar]
arrodilhar	verbo	ar|ro|di|[lhar]
arrofo	nome masculino	ar|[ro]|fo
arrogação	nome feminino	ar|ro|ga|[ção]
arrogador	adjetivo	ar|ro|ga|[dor]
arrogador	nome masculino	ar|ro|ga|[dor]
arrogância	nome feminino	ar|ro|[gân]|ci|a
arrogante	adjetivo	ar|ro|[gan]|te
arrogante	nome feminino	ar|ro|[gan]|te
arrogante	nome masculino	ar|ro|[gan]|te
arrogantemente	advérbio	ar|ro|gan|te|[men]|te
arrogar	verbo	ar|ro|[gar]
arrogo	nome masculino	ar|[ro]|go
arroiar	verbo	ar|roi|[ar]
arroio	nome masculino	ar|[roi]|o
arrojada	nome feminino	ar|ro|[ja]|da
arrojadamente	advérbio	ar|ro|ja|da|[men]|te
arrojadiço	adjetivo	ar|ro|ja|[di]|ço
arrojado	adjetivo	ar|ro|[ja]|do
