dois	número cardinal	[dois]
dois-pontos	nome masculino	dois-pon|tos
dojo	nome masculino	[do]|jo
dólar	nome masculino	[dó]|lar
dolência	nome feminino	do|[lên]|ci|a
dolente	adjetivo	do|[len]|te
dolerito	nome masculino	do|le|[ri]|to
dólico	nome masculino	[dó]|li|co
dólico-louro	adjetivo	dó|li|co-lou|ro
dolicocéfala	nome feminino	do|li|co|[cé]|fa|la
dolicocefalia	nome feminino	do|li|co|ce|fa|[li]|a
dolicocéfalo	adjetivo	do|li|co|[cé]|fa|lo
dolicocéfalo	nome masculino	do|li|co|[cé]|fa|lo
dolicócero	adjetivo	do|li|[có]|ce|ro
dolicódero	adjetivo	do|li|[có]|de|ro
dolicoenteria	nome feminino	do|li|co|en|te|[ri]|a
dolicoide	adjetivo	do|li|[coi]|de
dolina	nome feminino	do|[li]|na
dólmã	nome masculino	[dól]|mã
dólman	nome masculino	[dól]|man
dólmen	nome masculino	[dól]|men
dolmênico	adjetivo	dol|[mê]|ni|co
dolménico	adjetivo	dol|[mé]|ni|co
dólmin	nome masculino	[dól]|min
dolo	nome masculino	[do]|lo
dolomia	nome feminino	do|lo|[mi]|a
dolomita	nome feminino	do|lo|[mi]|ta
dolomite	nome feminino	do|lo|[mi]|te
dolomítico	adjetivo	do|lo|[mí]|ti|co
dolomito	nome masculino	do|lo|[mi]|to
dolomizacão	nome feminino	do|lo|mi|za|[cão]
dólope	adjetivo	[dó]|lo|pe
dólope	nome masculino	[dó]|lo|pe
dólope	nome feminino	[dó]|lo|pe
doloridamente	advérbio	do|lo|ri|da|[men]|te
dolorido	adjetivo	do|lo|[ri]|do
dolorífero	adjetivo	do|lo|[rí]|fe|ro
dolorífico	adjetivo	do|lo|[rí]|fi|co
dolorismo	nome masculino	do|lo|[ris]|mo
dolorosa	nome feminino	do|lo|[ro]|sa
dolorosamente	advérbio	do|lo|ro|sa|[men]|te
doloroso	adjetivo	do|lo|[ro]|so
dolosamente	advérbio	do|lo|sa|[men]|te
doloso	adjetivo	do|[lo]|so
dom	nome masculino	[dom]
dom-barqueiro	nome masculino	dom-bar|[quei]|ro
dom-bernardo	nome masculino	dom-ber|[nar]|do
dom-fafe	nome masculino	dom-fa|fe
dom-filipe	nome masculino	dom-fi|[li]|pe
dom-joanesco	adjetivo	dom-jo|a|[nes]|co
dom-joanismo	nome masculino	dom-jo|a|[nis]|mo
dom-joão	nome masculino	dom-jo|[ão]
dom-jorge	nome masculino	dom-jor|ge
dom-pedro	nome masculino	dom-pe|dro
dom-quixote	nome masculino	dom-qui|[xo]|te
dom-quixotesco	adjetivo	dom-qui|xo|[tes]|co
dom-quixotismo	nome masculino	dom-qui|xo|[tis]|mo
dom-rodrigo	nome masculino	dom-ro|[dri]|go
doma	nome feminino	[do]|ma
doma	nome masculino	[do]|ma
domabilidade	nome feminino	do|ma|bi|li|[da]|de
domação	nome feminino	do|ma|[ção]
domador	adjetivo	do|ma|[dor]
domador	nome masculino	do|ma|[dor]
domadora	nome feminino	do|ma|[do]|ra
domar	verbo	do|[mar]
domável	adjetivo	do|[má]|vel
domba	nome feminino	[dom]|ba
dombe	nome masculino	[dom]|be
dombe	nome feminino	[dom]|be
dombe	adjetivo	[dom]|be
dombó	nome masculino	dom|[bó]
dombo	nome masculino	[dom]|bo
dombolo	nome masculino	dom|[bo]|lo
dombondola	adjetivo	dom|bon|[do]|la
dombondola	nome masculino	dom|bon|[do]|la
dombondola	nome feminino	dom|bon|[do]|la
doméstica	nome feminino	do|[més]|ti|ca
domesticação	nome feminino	do|mes|ti|ca|[ção]
domesticado	adjetivo	do|mes|ti|[ca]|do
domesticador	adjetivo	do|mes|ti|ca|[dor]
domesticador	nome masculino	do|mes|ti|ca|[dor]
domesticadora	nome feminino	do|mes|ti|ca|[do]|ra
domesticamente	advérbio	do|mes|ti|ca|[men]|te
domesticar	verbo	do|mes|ti|[car]
domesticável	adjetivo	do|mes|ti|[cá]|vel
domesticidade	nome feminino	do|mes|ti|ci|[da]|de
doméstico	adjetivo	do|[més]|ti|co
doméstico	nome masculino	do|[més]|ti|co
domiciliação	nome feminino	do|mi|ci|li|a|[ção]
domiciliado	adjetivo	do|mi|ci|li|[a]|do
domiciliar	verbo	do|mi|ci|li|[ar]
domiciliar	adjetivo	do|mi|ci|li|[ar]
domiciliariamente	advérbio	do|mi|ci|li|a|ri|a|[men]|te
domiciliário	adjetivo	do|mi|ci|li|[á]|ri|o
domicílio	nome masculino	do|mi|[cí]|li|o
dominação	nome feminino	do|mi|na|[ção]
dominado	adjetivo	do|mi|[na]|do
dominador	adjetivo	do|mi|na|[dor]
dominador	nome masculino	do|mi|na|[dor]
