e	conjunção	e
e-book	nome masculino	[e-book]
e-mail	nome masculino	[e-mail]
e-zine	nome feminino	e-zi|ne
eandense	adjetivo	e|an|[den]|se
eandense	nome masculino	e|an|[den]|se
eandense	nome feminino	e|an|[den]|se
eanismo	nome masculino	e|a|[nis]|mo
eau-de-toilette	nome feminino	eau-de-toi|let|te
ebália	nome feminino	e|[bá]|li|a
ebanácea	nome feminino	e|ba|[ná]|ce|a
ebanáceo	adjetivo	e|ba|[ná]|ce|o
ebâneo	adjetivo	e|[bâ]|ne|o
ebanino	adjetivo	e|ba|[ni]|no
ebanista	nome masculino	e|ba|[nis]|ta
ebanista	nome feminino	e|ba|[nis]|ta
ebanite	nome feminino	e|ba|[ni]|te
ebanizar	verbo	e|ba|ni|[zar]
ébano	nome masculino	[é]|ba|no
ebenácea	nome feminino	e|be|[ná]|ce|a
ebenáceo	adjetivo	e|be|[ná]|ce|o
ébeno	nome masculino	[é]|be|no
ebionismo	nome masculino	e|bi|o|[nis]|mo
ebionita	adjetivo	e|bi|o|[ni]|ta
ebionita	nome masculino	e|bi|o|[ni]|ta
ebionita	nome feminino	e|bi|o|[ni]|ta
ébola	nome masculino	[é]|bo|la
ebonite	nome feminino	e|bo|[ni]|te
eborária	nome feminino	e|bo|[rá]|ri|a
eborário	nome masculino	e|bo|[rá]|ri|o
eborense	nome masculino	e|bo|[ren]|se
eborense	adjetivo	e|bo|[ren]|se
eborense	nome feminino	e|bo|[ren]|se
ebóreo	adjetivo	e|[bó]|re|o
ebriático	adjetivo	e|bri|[á]|ti|co
ebriativo	adjetivo	e|bri|a|[ti]|vo
ebriedade	nome feminino	e|bri|e|[da]|de
ebriez	nome feminino	e|bri|[ez]
ebrifestante	adjetivo	e|bri|fes|[tan]|te
ebrifestivo	adjetivo	e|bri|fes|[ti]|vo
ébrio	adjetivo	[é]|bri|o
ébrio	nome masculino	[é]|bri|o
ébrio	nome feminino	[é]|bri|o
ebrioso	adjetivo	e|bri|[o]|so
ebrirridente	adjetivo	e|brir|ri|[den]|te
ebulição	nome feminino	e|bu|li|[ção]
ebulidor	nome masculino	e|bu|li|[dor]
ebuliente	adjetivo	e|bu|li|[en]|te
ebuliometria	nome feminino	e|bu|li|o|me|[tri]|a
ebuliométrico	adjetivo	e|bu|li|o|[mé]|tri|co
ebuliômetro	nome masculino	e|bu|li|[ô]|me|tro
ebuliómetro	nome masculino	e|bu|li|[ó]|me|tro
ebulioscopia	nome feminino	e|bu|li|os|co|[pi]|a
ebulioscópico	adjetivo	e|bu|li|os|[có]|pi|co
ebulioscópio	nome masculino	e|bu|li|os|[có]|pi|o
ébulo	nome masculino	[é]|bu|lo
eburão	nome masculino	e|bu|[rão]
eburão	adjetivo	e|bu|[rão]
eburina	nome feminino	e|bu|[ri]|na
eburino	adjetivo	e|bu|[ri]|no
eburino	nome masculino	e|bu|[ri]|no
eburnação	nome feminino	e|bur|na|[ção]
ebúrneo	adjetivo	e|[búr]|ne|o
ebúrneo	nome masculino	e|[búr]|ne|o
eburnite	nome feminino	e|bur|[ni]|te
eburovice	adjetivo	e|bu|ro|[vi]|ce
eburovice	nome masculino	e|bu|ro|[vi]|ce
eburovice	nome feminino	e|bu|ro|[vi]|ce
ecálice	adjetivo	e|[cá]|li|ce
ecálice	nome masculino	e|[cá]|li|ce
ecálice	nome feminino	e|[cá]|li|ce
ecapa	nome feminino	e|[ca]|pa
écarté	nome masculino	é|car|té
ecartê	nome masculino	e|car|[tê]
ecato	nome masculino	e|[ca]|to
ecaudado	adjetivo	e|cau|[da]|do
écbase	nome feminino	[éc]|ba|se
ecbólade	nome feminino	ec|[bó]|la|de
ecbólico	adjetivo	ec|[bó]|li|co
ecbolina	nome feminino	ec|bo|[li]|na
ecceidade	nome feminino	ec|cei|[da]|de
ecdêmico	adjetivo	ec|[dê]|mi|co
ecdémico	adjetivo	ec|[dé]|mi|co
ecdisona	nome feminino	ec|di|[so]|na
ecdótica	nome feminino	ec|[dó]|ti|ca
ecdótico	adjetivo	ec|[dó]|ti|co
ecetrano	adjetivo	e|ce|[tra]|no
ecetrano	nome masculino	e|ce|[tra]|no
ecfonema	nome masculino	ec|fo|[ne]|ma
écfora	nome feminino	[éc]|fo|ra
ecfráctico	adjetivo	ec|[frác]|ti|co
écfrase	nome feminino	[éc]|fra|se
ecfrástico	adjetivo	ec|[frás]|ti|co
ecfrático	adjetivo	ec|[frá]|ti|co
echacorvos	nome masculino	e|cha|[cor]|vos
echalota	nome feminino	e|cha|[lo]|ta
echarpe	nome feminino	e|[char]|pe
écharpe	nome feminino	é|char|pe
echuabo	nome masculino	e|chu|[a]|bo
éclair	nome masculino	é|clair
