nadica	advérbio	na|[di]|ca
nadinha	nome masculino	na|[di]|nha
nadir	nome masculino	na|[dir]
nadiral	adjetivo	na|di|[ral]
nadível	adjetivo	na|[dí]|vel
nadivo	adjetivo	na|[di]|vo
nado	nome masculino	[na]|do
nado	adjetivo	[na]|do
nado-morto	nome masculino	na|do-mor|to
nado-morto	adjetivo	na|do-mor|to
nado-vivo	nome masculino	na|do-vi|vo
nado-vivo	adjetivo	na|do-vi|vo
nafé	nome masculino	na|[fé]
náfega	nome feminino	[ná]|fe|ga
náfego	nome masculino	[ná]|fe|go
náfego	adjetivo	[ná]|fe|go
nafka	nome masculino	[naf]|ka
náfrico	adjetivo	[ná]|fri|co
nafta	nome feminino	[naf]|ta
naftagil	nome masculino	naf|ta|[gil]
naftagina	nome feminino	naf|ta|[gi]|na
naftalânio	nome masculino	naf|ta|[lâ]|ni|o
naftaleno	nome masculino	naf|ta|[le]|no
naftalina	nome feminino	naf|ta|[li]|na
nafteína	nome feminino	naf|te|[í]|na
naftênico	adjetivo	naf|[tê]|ni|co
nafténico	adjetivo	naf|[té]|ni|co
nafteno	nome masculino	naf|[te]|no
naftina	nome feminino	naf|[ti]|na
naftol	nome masculino	naf|[tol]
naftomania	nome feminino	naf|to|ma|[ni]|a
naftomaníaco	adjetivo	naf|to|ma|[ní]|a|co
naftomaníaco	nome masculino	naf|to|ma|[ní]|a|co
naftómano	nome masculino	naf|[tó]|ma|no
naftômano	nome masculino	naf|[tô]|ma|no
naga	nome feminino	[na]|ga
naga	nome masculino	[na]|ga
nagalhé	nome masculino	na|ga|[lhé]
nagalho	nome masculino	na|[ga]|lho
nagana	nome feminino	na|[ga]|na
nagão	nome masculino	na|[gão]
nagar	nome masculino	na|[gar]
nagara	nome masculino	na|[ga]|ra
nágera	nome feminino	[ná]|ge|ra
nagô	adjetivo	na|[gô]
nagô	nome masculino	na|[gô]
nagô	nome feminino	na|[gô]
nagual	nome masculino	na|[gual]
nagualismo	nome masculino	na|gua|[lis]|mo
náiada	nome feminino	[ná]|i|a|da
naiadácea	nome feminino	nai|a|[dá]|ce|a
naiadáceo	adjetivo	nai|a|[dá]|ce|o
náiade	nome feminino	[ná]|i|a|de
naiádeo	adjetivo	nai|[á]|de|o
naida	nome masculino	[nai]|da
naídeo	nome masculino	na|[í]|de|o
naídeo	adjetivo	na|[í]|de|o
naïf	adjetivo	na|ïf
naïf	nome masculino	[na]|ïf
naïf	nome feminino	na|ïf
naifa	nome feminino	[nai]|fa
naifada	nome feminino	nai|[fa]|da
naifista	nome masculino	nai|[fis]|ta
naifista	nome feminino	nai|[fis]|ta
náilon	nome masculino	[ná]|i|lon
naipada	nome feminino	nai|[pa]|da
naipe	nome masculino	[nai]|pe
naipeira	nome feminino	nai|[pei]|ra
naipeiro	adjetivo	nai|[pei]|ro
naique	nome masculino	[nai]|que
naira	nome masculino	[nai]|ra
nairangia	nome feminino	nai|ran|[gi]|a
naire	nome masculino	[nai]|re
naire	nome feminino	[nai]|re
nairo	nome masculino	[nai]|ro
naïve	adjetivo	na|ï|ve
naja	nome feminino	[na]|ja
najico	adjetivo	na|[ji]|co
nala	nome feminino	[na]|la
nalga	nome feminino	[nal]|ga
nalgada	nome feminino	nal|[ga]|da
nalgo	contração	[nal]|go
nalgudo	adjetivo	nal|[gu]|do
nalguém	contração	nal|[guém]
nalgum	contração	nal|[gum]
nalu	adjetivo	na|[lu]
nalu	nome feminino	na|[lu]
nalu	nome masculino	na|[lu]
nama	nome masculino	[na]|ma
namácua	adjetivo	na|[má]|cu|a
namácua	nome masculino	na|[má]|cu|a
namácua	nome feminino	na|[má]|cu|a
namarino	adjetivo	na|ma|[ri]|no
namarino	nome masculino	na|ma|[ri]|no
namarrai	adjetivo	na|mar|[rai]
namarrai	nome masculino	na|mar|[rai]
namarrai	nome feminino	na|mar|[rai]
namarral	nome masculino	na|mar|[ral]
namarral	adjetivo	na|mar|[ral]
namarral	nome feminino	na|mar|[ral]
