safa	interjeição	[sa]|fa
safa-safa	nome feminino	sa|fa-sa|fa
safada	nome feminino	sa|[fa]|da
safadeza	nome feminino	sa|fa|[de]|za
safadice	nome feminino	sa|fa|[di]|ce
safadismo	nome masculino	sa|fa|[dis]|mo
safado	adjetivo	sa|[fa]|do
safado	nome masculino	sa|[fa]|do
safanão	nome masculino	sa|fa|[não]
safanar	verbo	sa|fa|[nar]
safanico	nome masculino	sa|fa|[ni]|co
safar	verbo	sa|[far]
sáfara	nome feminino	[sá]|fa|ra
safardana	nome masculino	sa|far|[da]|na
safardana	nome feminino	sa|far|[da]|na
safardel	nome masculino	sa|far|[del]
safari	nome masculino	sa|fa|[ri]
safaria	adjetivo	sa|fa|[ri]|a
sáfaro	adjetivo	[sá]|fa|ro
safarrascada	nome feminino	sa|far|ras|[ca]|da
safata	nome feminino	sa|[fa]|ta
safável	adjetivo	sa|[fá]|vel
safena	nome feminino	sa|[fe]|na
safeno	nome masculino	sa|[fe]|no
safeno	adjetivo	sa|[fe]|no
saficamente	advérbio	sa|fi|ca|[men]|te
sáfico	adjetivo	[sá]|fi|co
sáfico	nome masculino	[sá]|fi|co
safio	nome masculino	sa|[fi]|o
safio	adjetivo	sa|[fi]|o
sáfio	adjetivo	[sá]|fi|o
safira	nome feminino	sa|[fi]|ra
safira	nome masculino	sa|[fi]|ra
safírico	adjetivo	sa|[fí]|ri|co
safirina	nome feminino	sa|fi|[ri]|na
safirino	adjetivo	sa|fi|[ri]|no
safismo	nome masculino	sa|[fis]|mo
safista	nome feminino	sa|[fis]|ta
safo	adjetivo	[sa]|fo
safo	nome feminino	[sa]|fo
safões	nome masculino	sa|[fões]
saforil	nome masculino	sa|fo|[ril]
safra	nome feminino	[sa]|fra
safradeira	nome feminino	sa|fra|[dei]|ra
safradura	nome feminino	sa|fra|[du]|ra
safranina	nome feminino	sa|fra|[ni]|na
safrão	nome masculino	sa|[frão]
safre	nome masculino	[sa]|fre
safreira	nome feminino	sa|[frei]|ra
safro	adjetivo	[sa]|fro
safrol	nome masculino	sa|[frol]
safu	nome masculino	sa|[fu]
safu-de-obó	nome masculino	sa|fu-de-o|[bó]
safueiro	nome masculino	sa|fu|[ei]|ro
safuta	nome feminino	sa|[fu]|ta
saga	nome feminino	[sa]|ga
sagace	adjetivo	sa|[ga]|ce
sagácia	nome feminino	sa|[gá]|ci|a
sagacidade	nome feminino	sa|ga|ci|[da]|de
saganha	nome feminino	sa|[ga]|nha
saganho	nome masculino	sa|[ga]|nho
saganho-mouro	nome masculino	sa|ga|nho-mou|ro
sagapejo	nome masculino	sa|ga|[pe]|jo
sagapeno	nome masculino	sa|ga|[pe]|no
sagárcio	adjetivo	sa|[gár]|ci|o
sagárcio	nome masculino	sa|[gár]|ci|o
sagaz	adjetivo	sa|[gaz]
sagazmente	advérbio	sa|gaz|[men]|te
sage	nome masculino	[sa]|ge
sage	adjetivo	[sa]|ge
sage	nome feminino	[sa]|ge
sagenária	nome feminino	sa|ge|[ná]|ri|a
sagenite	nome feminino	sa|ge|[ni]|te
sagerécia	nome feminino	sa|ge|[ré]|ci|a
sages	adjetivo	[sa]|ges
sagesmente	advérbio	sa|ges|[men]|te
sageza	nome feminino	sa|[ge]|za
ságio	adjetivo	[sá]|gi|o
ságio	nome masculino	[sá]|gi|o
sagitado	adjetivo	sa|gi|[ta]|do
sagital	adjetivo	sa|gi|[tal]
sagitária	nome feminino	sa|gi|[tá]|ri|a
sagitariano	nome masculino	sa|gi|ta|ri|[a]|no
sagitariano	adjetivo	sa|gi|ta|ri|[a]|no
sagitariídeo	nome masculino	sa|gi|ta|ri|[í]|de|o
sagitariídeo	adjetivo	sa|gi|ta|ri|[í]|de|o
sagitariídeo	nome masculino	sa|gi|ta|ri|[í]|de|o
sagitário	adjetivo	sa|gi|[tá]|ri|o
sagitário	nome masculino	sa|gi|[tá]|ri|o
sagitela	nome feminino	sa|gi|[te]|la
sagitífero	adjetivo	sa|gi|[tí]|fe|ro
sagitifoliado	adjetivo	sa|gi|ti|fo|li|[a]|do
sagma	nome masculino	[sag]|ma
sago	nome masculino	[sa]|go
sagotar	verbo	sa|go|[tar]
sagote	nome masculino	sa|[go]|te
sagra	nome feminino	[sa]|gra
sagração	nome feminino	sa|gra|[ção]
sagradamente	advérbio	sa|gra|da|[men]|te
sagrado	adjetivo	sa|[gra]|do
